City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,City Description
254,Kavieng,-2.57,150.8,78.26,86,100,8.23,PG,light rain
255,Karasburg,-28.02,18.75,62.06,28,0,5.55,NA,clear sky
256,Hambantota,6.12,81.12,79.36,83,0,11.16,LK,clear sky
257,Eraclea,45.58,12.68,73.4,83,75,16.11,IT,light intensity shower rain
258,Port Hardy,50.7,-127.42,55.4,87,75,8.05,CA,broken clouds
259,Samana,19.21,-69.34,87.8,84,75,13.87,DO,broken clouds
260,Ruwi,23.6,58.55,86.0,74,100,2.24,OM,overcast clouds
261,Jacareacanga,-6.22,-57.75,100.87,18,0,1.86,BR,clear sky
262,Chauk,20.88,94.82,77.43,85,100,16.24,MM,overcast clouds
263,Salinas,36.68,-121.66,80.01,57,1,10.29,US,haze
264,Liverpool,53.41,-2.98,60.8,77,75,8.05,GB,broken clouds
265,Bac Lieu,9.29,105.72,79.83,84,39,6.87,VN,scattered clouds
266,Halifax,44.65,-63.57,78.01,46,69,3.0,CA,broken clouds
267,Dingle,11.0,122.67,76.32,88,100,0.65,PH,overcast clouds
268,Joao Pinheiro,-17.74,-46.17,72.93,55,63,11.12,BR,broken clouds
269,Ano Mera,37.45,25.4,79.0,54,0,18.34,GR,clear sky
270,Port Hedland,-20.32,118.57,60.8,59,0,8.55,AU,clear sky
271,Sonoita,31.85,-112.83,102.99,28,22,1.99,MX,few clouds
272,Dawei,14.08,98.2,75.49,89,93,2.1,MM,light rain
273,Marrakesh,31.63,-8.01,95.0,23,40,12.75,MA,scattered clouds
274,Skibbereen,51.55,-9.27,57.2,87,75,9.17,IE,broken clouds
275,Morant Bay,17.88,-76.41,89.01,74,40,10.29,JM,scattered clouds
276,Cauquenes,-35.97,-72.32,53.73,67,100,13.96,CL,overcast clouds
277,Russell,32.35,-85.2,89.6,52,75,14.99,US,broken clouds
278,Klaksvik,62.23,-6.59,46.4,81,79,8.05,FO,broken clouds
279,Umm Kaddadah,13.6,26.69,83.59,55,99,7.38,SD,moderate rain
280,Pakala,13.47,79.12,77.02,82,95,3.49,IN,moderate rain
281,San Policarpo,12.18,125.51,78.91,83,0,5.86,PH,clear sky
282,Chumikan,54.72,135.31,50.02,70,12,1.74,RU,few clouds
283,Port Lincoln,-34.73,135.87,47.7,80,62,2.73,AU,broken clouds
284,Torbay,47.67,-52.73,66.2,63,40,5.82,CA,scattered clouds
285,Lidkoping,58.51,13.16,60.8,87,0,18.34,SE,clear sky
286,Mirador,-6.37,-44.36,95.58,24,40,7.4,BR,scattered clouds
287,Galesong,-5.32,119.37,68.0,77,18,4.7,ID,few clouds
288,Swan River,52.11,-101.27,74.46,47,70,11.23,CA,broken clouds
289,Tevaitoa,-16.78,-151.5,77.05,77,26,20.6,PF,light rain
290,Valpacos,41.61,-7.31,70.0,16,0,1.01,PT,clear sky
291,Norman Wells,65.28,-126.83,68.0,52,20,17.22,CA,few clouds
292,Angoram,-4.06,144.07,73.63,97,100,1.07,PG,moderate rain
293,Surt,31.21,16.59,79.75,79,0,9.1,LY,clear sky
294,Sibiti,-3.68,13.35,71.49,83,100,5.17,CG,overcast clouds
295,Tuatapere,-46.13,167.68,43.0,94,85,3.0,NZ,overcast clouds
296,Isla Mujeres,21.23,-86.73,84.99,94,90,10.04,MX,overcast clouds
297,Santa Fe,-31.63,-60.7,73.0,29,0,8.99,AR,clear sky
298,Bela,25.93,81.98,80.85,79,52,3.91,IN,light rain
299,Varhaug,58.61,5.65,52.0,85,15,4.0,NO,few clouds
300,Kautokeino,69.01,23.04,53.51,91,100,10.71,NO,light rain
301,Guantanamo,20.14,-75.21,78.8,94,90,9.17,CU,light rain
302,Sitio Novo Do Tocantins,-5.52,-47.46,84.2,74,75,5.82,BR,broken clouds
303,Saint-Augustin,51.23,-58.65,63.03,73,81,9.55,CA,light rain
304,Kaliganj,23.41,89.14,78.46,94,43,5.68,BD,scattered clouds
305,Kamaishi,39.27,141.88,72.43,80,100,2.37,JP,overcast clouds
306,Priladozhskiy,59.85,31.48,61.0,99,100,6.98,RU,overcast clouds
307,Cabo San Lucas,22.89,-109.91,93.2,55,20,9.17,MX,few clouds
308,Coihaique,-45.58,-72.07,37.4,86,90,3.36,CL,light rain
309,Jalu,29.03,21.55,81.45,48,0,18.77,LY,clear sky
310,Muzhi,65.37,64.67,51.85,80,84,6.2,RU,broken clouds
311,Rabak,13.18,32.74,81.52,68,100,10.94,SD,overcast clouds
312,Ambon,-3.7,128.18,75.99,16,100,10.29,ID,overcast clouds
313,Vallenar,-28.57,-70.76,66.47,38,1,10.78,CL,clear sky
314,Tura,25.52,90.22,74.3,97,54,5.03,IN,broken clouds
315,Sangar,63.92,127.47,38.89,86,100,1.05,RU,overcast clouds
316,Raudeberg,61.99,5.14,48.0,88,88,14.41,NO,light rain
317,Itaituba,-4.28,-55.98,97.61,26,80,2.95,BR,broken clouds
318,Baijiantan,45.63,85.18,78.04,27,64,3.62,CN,broken clouds
319,Yumen,40.28,97.2,65.43,27,1,5.84,CN,clear sky
320,Touros,-5.2,-35.46,80.6,61,20,14.99,BR,few clouds
321,Toucheng,24.86,121.82,82.4,83,75,5.82,TW,broken clouds
322,Zhigansk,66.77,123.37,39.22,91,8,15.43,RU,clear sky
323,Isangel,-19.55,169.27,76.17,85,14,4.68,VU,few clouds
324,Nouadhibou,20.93,-17.03,77.0,73,0,18.34,MR,clear sky
325,Bathsheba,13.22,-59.52,87.8,66,20,11.41,BB,shower rain
326,Brae,60.4,-1.35,51.8,66,92,11.41,GB,light rain
327,Santa Isabel,-23.32,-46.22,66.2,59,40,10.29,BR,scattered clouds
328,Mayumba,-3.43,10.66,74.44,83,100,7.61,GA,overcast clouds
329,Lazo,43.38,133.9,62.83,87,86,0.94,RU,overcast clouds
330,Ashqelon,31.67,34.57,82.0,34,0,3.11,IL,clear sky
331,Qandala,11.47,49.87,89.35,51,5,3.02,SO,clear sky
332,Eyl,7.98,49.82,76.26,73,19,25.48,SO,few clouds
333,Ahuimanu,21.44,-157.84,84.2,69,40,10.29,US,scattered clouds
334,Muskogee,35.58,-95.33,90.0,49,1,6.93,US,clear sky
335,Srednekolymsk,67.45,153.68,36.18,84,100,9.1,RU,overcast clouds
336,Hornepayne,49.21,-84.77,76.6,52,100,4.52,CA,overcast clouds
337,Alofi,-19.06,-169.92,77.0,78,97,10.29,NU,overcast clouds
338,Cabedelo,-6.98,-34.83,80.6,65,32,14.99,BR,scattered clouds
339,Baruun-Urt,46.68,113.28,54.82,85,0,2.48,MN,clear sky
340,Mandalgovi,45.76,106.27,56.19,61,0,9.62,MN,clear sky
341,Shakawe,-18.37,21.85,63.32,46,0,5.12,BW,clear sky
342,Matane,48.83,-67.52,68.0,45,67,6.62,CA,broken clouds
343,Karratha,-20.74,116.85,72.77,43,71,5.19,AU,broken clouds
344,Saint Anthony,45.02,-93.22,91.99,43,40,5.82,US,scattered clouds
345,Lompoc,34.64,-120.46,73.99,78,1,6.93,US,clear sky
346,Pisco,-13.7,-76.22,66.0,82,75,9.17,PE,broken clouds
347,Praia,14.92,-23.51,84.2,70,75,9.17,CV,broken clouds
348,Hofn,64.25,-15.21,52.12,73,100,3.33,IS,overcast clouds
349,Nortelandia,-14.45,-56.8,95.43,22,75,3.4,BR,broken clouds
350,Mount Gambier,-37.83,140.77,39.2,93,90,6.93,AU,overcast clouds
351,Bolobo,-2.17,16.23,73.94,87,95,1.43,CD,light rain
352,Lavumisa,-27.31,31.89,62.55,61,0,2.1,SZ,clear sky
353,San Joaquin,10.26,-67.79,81.81,67,1,4.32,VE,light rain
354,Westport,41.14,-73.36,88.0,69,1,9.17,US,clear sky
355,Qui Nhon,13.77,109.23,79.27,81,100,5.32,VN,overcast clouds
356,Rorvik,64.86,11.24,51.8,71,75,18.34,NO,shower rain
357,Svilengrad,41.77,26.2,69.01,66,0,5.84,BG,clear sky
358,Ormara,25.21,64.64,83.44,85,100,12.93,PK,overcast clouds
359,Kimbe,-5.55,150.14,74.16,92,100,4.16,PG,moderate rain
360,Katsuura,35.13,140.3,77.0,94,75,8.05,JP,shower rain
361,Celestun,20.87,-90.4,86.25,68,32,11.79,MX,scattered clouds
362,Tramore,52.16,-7.15,62.01,82,40,9.44,IE,scattered clouds
