City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
252,Necochea,AR,64.99,clear sky,-38.55,-58.74,dyd -mar Hotel
253,Omboue,GA,74.01,overcast clouds,-1.57,9.26,Hotel Olako
255,Karasburg,,62.06,clear sky,-28.02,18.75,Hoon's Selfcatering
257,Eraclea,IT,73.4,light intensity shower rain,45.58,12.68,eraclea
264,Liverpool,GB,60.8,broken clouds,53.41,-2.98,Premier Inn Liverpool City Centre (Moorfields) hotel
268,Joao Pinheiro,BR,72.93,broken clouds,-17.74,-46.17,Hotel Santos
270,Port Hedland,AU,60.8,clear sky,-20.32,118.57,The Esplanade Hotel
284,Torbay,CA,66.2,scattered clouds,47.67,-52.73,Gallows Cove
285,Lidkoping,SE,60.8,clear sky,58.51,13.16,Hotell Läckö - GRAND HOTEL
287,Galesong,ID,68.0,few clouds,-5.32,119.37,Sapriadi Appy
288,Swan River,CA,74.46,broken clouds,52.11,-101.27,Super 8 by Wyndham Swan River MB
290,Valpacos,PT,70.0,clear sky,41.61,-7.31,Casa da Roseira
291,Norman Wells,CA,68.0,few clouds,65.28,-126.83,Heritage Hotel
292,Angoram,PG,73.63,moderate rain,-4.06,144.07,
294,Sibiti,CG,71.49,overcast clouds,-3.68,13.35,Hotel Mapila 1
297,Santa Fe,AR,73.0,clear sky,-31.63,-60.7,Conquistador Hotel
303,Saint-Augustin,CA,63.03,light rain,51.23,-58.65,
305,Kamaishi,JP,72.43,overcast clouds,39.27,141.88,Hotel Route Inn Kamaishi
306,Priladozhskiy,RU,61.0,overcast clouds,59.85,31.48,Grand Putilovo Plaza Royal: Resort & SPA
313,Vallenar,CL,66.47,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
314,Tura,IN,74.3,broken clouds,25.52,90.22,Hotel RIKMAN Continental
319,Yumen,CN,65.43,clear sky,40.28,97.2,
327,Santa Isabel,BR,66.2,scattered clouds,-23.32,-46.22,Chácara Sombra do Altíssimo
328,Mayumba,GA,74.44,overcast clouds,-3.43,10.66,LIKWALE LODGE
329,Lazo,RU,62.83,overcast clouds,43.38,133.9,
341,Shakawe,BW,63.32,clear sky,-18.37,21.85,Ditlhapi Guest House
342,Matane,CA,68.0,broken clouds,48.83,-67.52,Hotel-Motel Belle Plage
343,Karratha,AU,72.77,broken clouds,-20.74,116.85,ibis Styles Karratha
345,Lompoc,US,73.99,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
346,Pisco,PE,66.0,broken clouds,-13.7,-76.22,Hostal San Isidro Oficial
351,Bolobo,CD,73.94,light rain,-2.17,16.23,
352,Lavumisa,SZ,62.55,clear sky,-27.31,31.89,ROADSIDE B&B
357,Svilengrad,BG,69.01,clear sky,41.77,26.2,Park Hotel Romantica
359,Kimbe,PG,74.16,moderate rain,-5.55,150.14,Kimbe Bay Hotel
362,Tramore,IE,62.01,scattered clouds,52.16,-7.15,Majestic Hotel
366,Kodiak,US,60.8,overcast clouds,57.79,-152.41,Best Western Kodiak Inn and Convention Center
369,Santander,ES,70.0,scattered clouds,43.46,-3.8,Abba Santander Hotel
371,Grand Gaube,MU,66.99,light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
372,Novikovo,RU,62.29,broken clouds,51.15,37.89,
378,Friockheim,GB,60.8,few clouds,56.64,-2.66,Guthrie Bed and Breakfast
379,Abong Mbang,CM,68.58,moderate rain,3.98,13.18,Hotel Delice Du Haut Nyong
381,Balkhash,KZ,70.99,broken clouds,46.84,74.98,Family
382,Namibe,AO,66.88,overcast clouds,-15.2,12.15,Hotel Chik Chik Namibe
383,Birao,CF,71.51,overcast clouds,10.28,22.79,
384,Pokhara,NP,71.67,overcast clouds,28.23,83.98,Hotel View Point
386,Almenara,BR,71.02,overcast clouds,-16.18,-40.69,Pousada Sol Nascente 1
391,Marawi,PH,75.0,broken clouds,8.0,124.29,Salihmaruhom
397,Sembe,CG,71.47,moderate rain,1.65,14.58,
399,Provost,CA,71.53,overcast clouds,52.35,-110.27,Provost Motor Inn
402,Astaneh-Ye Ashrafiyeh,IR,62.6,moderate rain,37.26,49.94,parking & soiet shafiee
403,Cascais,PT,73.0,few clouds,38.7,-9.42,Hotel Vila Galé Cascais
406,Gamba,GA,73.45,broken clouds,-2.65,10.0,
408,Sept-Iles,CA,64.4,few clouds,50.2,-66.38,Comfort Inn
410,General Pico,AR,67.42,clear sky,-35.66,-63.76,Hotel Malargue
412,Shalyhyne,UA,61.05,clear sky,51.57,34.12,
